variant,split,n_numeric,n_categorical,text_included,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity,brier_score,ece_10_bins,top_5pct_precision,top_5pct_recall_capture,top_5pct_lift,top_10pct_precision,top_10pct_recall_capture,top_10pct_lift,top_20pct_precision,top_20pct_recall_capture,top_20pct_lift,top_30pct_precision,top_30pct_recall_capture,top_30pct_lift,n_test,prevalence
full_acrm,group_company,54,16,True,0.9583688621779378,0.8274193099139845,0.9496183206106871,0.8325599088073199,0.7565174618789966,0.8516057585825028,0.6805309734513274,0.9845888441633123,0.042141263099839406,0.020860370669388846,0.9634146341463414,0.4194690265486726,8.37659184113965,0.8016276703967447,0.6973451327433628,6.9699043023433775,0.5022900763358779,0.8734513274336283,4.367256637168142,0.36906377204884666,0.9628318584070796,3.208895186176919,9825,0.11501272264631043
full_acrm,group_epd_source,54,16,True,0.9583825319350358,0.8070118722749763,0.9440314822912111,0.8349346545852441,0.7305263157894737,0.7694013303769401,0.6953907815631263,0.974478527607362,0.04464324053830433,0.02492804973283085,0.9126637554585153,0.4188376753507014,8.365779594122744,0.7685589519650655,0.7054108216432866,7.044867026629679,0.4885245901639344,0.8957915831663327,4.477978908636946,0.3466860888565186,0.9539078156312625,3.1778400209012347,4574,0.10909488412767818
full_acrm,temporal_latest20,54,16,True,0.9646420986998359,0.8062374231925772,0.9544085574826047,0.8521128295036849,0.729513247073321,0.7299630086313194,0.729064039408867,0.9751616195985029,0.03469917699389157,0.018809151380112743,0.8941908713692946,0.5307881773399015,10.603650123663718,0.6625129802699896,0.7857142857142857,7.856326954457796,0.39304257528556596,0.9322660098522167,4.660846006680683,0.2706818968501212,0.9630541871921182,3.2098472718840108,9629,0.08432859071554678
no_supplier_identity,group_company,54,6,True,0.9565988997847404,0.8183340392431815,0.9487022900763359,0.8224180309098403,0.7469879518072289,0.8631090487238979,0.6584070796460177,0.986428982173663,0.043343546140831295,0.021756732183526008,0.9369918699186992,0.4079646017699115,8.146854090222318,0.8056968463886063,0.7008849557522124,7.005284527228369,0.5017811704834606,0.8725663716814159,4.36283185840708,0.3656716417910448,0.9539823008849557,3.179401664245146,9825,0.11501272264631043
no_supplier_identity,group_epd_source,54,6,True,0.9538111806434956,0.7982872964314837,0.9385658067337123,0.8248327329505637,0.7069864442127216,0.7369565217391304,0.6793587174348698,0.9703067484662576,0.04603165276882313,0.022488690429469785,0.9126637554585153,0.4188376753507014,8.365779594122744,0.7379912663755459,0.6773547094188377,6.7646734517069085,0.4808743169398907,0.8817635270541082,4.407853959284689,0.34595775673707213,0.9519038076152304,3.171163886403543,4574,0.10909488412767818
no_supplier_identity,temporal_latest20,54,6,True,0.9633704844704949,0.802969499134983,0.9525392044864472,0.8438243602400424,0.7170278637770898,0.7210460772104608,0.7130541871921182,0.9745945332879664,0.03497940130556255,0.017386129488524155,0.8838174273858921,0.5246305418719212,10.480637941254624,0.660436137071651,0.7832512315270936,7.831698970274542,0.3894080996884735,0.9236453201970444,4.617747034359989,0.2706818968501212,0.9630541871921182,3.2098472718840108,9629,0.08432859071554678
no_free_text,group_company,54,16,False,0.9269585816281354,0.7451335254787239,0.8904834605597964,0.8291778409929418,0.6115523465703971,0.5164634146341464,0.7495575221238938,0.9087981598619896,0.08048798116097897,0.0883810439191416,0.9288617886178862,0.4044247787610619,8.076165551478523,0.7395727365208545,0.643362831858407,6.430355872847253,0.4580152671755725,0.7964601769911505,3.982300884955752,0.35074626865671643,0.9150442477876106,3.0496301677453443,9825,0.11501272264631043
no_free_text,group_epd_source,54,16,False,0.940887910790907,0.742584890939773,0.9230432881504154,0.8196382949948977,0.6608863198458574,0.6363636363636364,0.687374749498998,0.9519018404907975,0.05925890457390212,0.04322753350541264,0.8384279475982532,0.3847695390781563,7.685309483596013,0.7183406113537117,0.6593186372745491,6.584549010685126,0.45136612021857925,0.8276553106212425,4.137372011783129,0.33867443554260745,0.9318637274549099,3.1044025414266265,4574,0.10909488412767818
no_free_text,temporal_latest20,54,16,False,0.9404000668212047,0.6997221154511079,0.9173330563921487,0.8167733654924348,0.5867082035306335,0.507181328545781,0.6958128078817734,0.9377339231030963,0.05782768514403924,0.05055347445751395,0.7966804979253111,0.4729064039408867,9.447335609018253,0.5420560747663551,0.6428571428571429,6.427903871829105,0.37123572170301145,0.8805418719211823,4.402252172756524,0.26895119418483904,0.9568965517241379,3.1893239517312995,9629,0.08432859071554678
no_lci_source_text,group_company,54,16,True,0.9292688810067835,0.6736753800868249,0.9075826972010178,0.8453831161230898,0.6555386949924128,0.5737051792828686,0.7646017699115044,0.9261644623346751,0.0763390768988281,0.07109405296475821,0.6910569105691057,0.3008849557522124,6.0085257932225336,0.6846388606307223,0.595575221238938,5.952722836899865,0.45597964376590333,0.7929203539823009,3.9646017699115044,0.3514246947082768,0.9168141592920354,3.0555288721316987,9825,0.11501272264631043
no_lci_source_text,group_epd_source,54,16,True,0.9373374970800498,0.7449541699209823,0.9306952339309139,0.7949157210125772,0.6616862326574173,0.7077625570776256,0.6212424849699398,0.9685889570552147,0.05486649639702727,0.034986672873305646,0.8777292576419214,0.4028056112224449,8.045558365639577,0.6899563318777293,0.6332665330661322,6.324369262542553,0.46120218579234973,0.845691382765531,4.227532660950316,0.33576110706482154,0.9238476953907816,3.0776980034358594,4574,0.10909488412767818
no_lci_source_text,temporal_latest20,54,16,True,0.9542833453734416,0.760626568620959,0.9426731747845052,0.8356417657112241,0.6752941176470588,0.6463963963963963,0.7068965517241379,0.9643869796983101,0.04241073768584622,0.02831494486500442,0.8319502074688797,0.4938423645320197,9.865577029209167,0.6272066458982347,0.7438423645320197,7.43765122334249,0.3811007268951194,0.9039408866995073,4.519235097626977,0.2686050536517826,0.9556650246305419,3.185219287700757,9629,0.08432859071554678
structured_metadata_only,group_company,54,6,False,0.9183292198242302,0.6800578242922001,0.8744020356234097,0.7977636928964362,0.5611664295874822,0.4690844233055886,0.6982300884955752,0.8972972972972973,0.07823072809830205,0.09175215227846263,0.7357723577235772,0.32035398230088497,6.397312756313403,0.7538148524923703,0.6557522123893805,6.554186659944724,0.438676844783715,0.7628318584070797,3.814159292035398,0.3531207598371777,0.9212389380530973,3.070275633097585,9825,0.11501272264631043
structured_metadata_only,group_epd_source,54,6,False,0.9103790402891673,0.7072244712597573,0.8915609969392216,0.8125212387966116,0.5887230514096186,0.5021216407355021,0.7114228456913828,0.9136196319018405,0.08348810630956699,0.09101614290299112,0.8646288209606987,0.3967935871743487,7.925475404958389,0.6877729257641921,0.6312625250501002,6.304355435762354,0.4098360655737705,0.751503006012024,3.7566937152994515,0.3080844865258558,0.8476953907815631,2.824004892523576,4574,0.10909488412767818
structured_metadata_only,temporal_latest20,54,6,False,0.8594385789655116,0.27992451052453954,0.8088067296707862,0.7960876352277368,0.40784818269540046,0.2760121898127993,0.7807881773399015,0.8113870931155722,0.19040909322752952,0.19110767267117998,0.24273858921161826,0.1440886699507389,2.878485068372749,0.26272066458982346,0.31157635467980294,3.1154399991815396,0.30062305295950154,0.7130541871921182,3.5649007105259116,0.24679820006922812,0.8780788177339901,2.926625453776598,9629,0.08432859071554678
no_strength_features,group_company,47,11,True,0.8290446650755444,0.44150209335655316,0.8785750636132316,0.6384324731434503,0.38218539616778874,0.4606741573033708,0.32654867256637166,0.9503162737205291,0.08436438850510972,0.029401410405363107,0.5487804878048781,0.23893805309734514,4.77147636520613,0.4333672431332655,0.3769911504424779,3.767993950251623,0.3628498727735369,0.6309734513274337,3.1548672566371683,0.29850746268656714,0.7787610619469026,2.5954299299960373,9825,0.11501272264631043
no_strength_features,group_epd_source,47,11,True,0.935433320628988,0.6950312651366203,0.9256668124180149,0.836938170820168,0.67984934086629,0.6412078152753108,0.7234468937875751,0.9504294478527607,0.05604710080039283,0.04444377096753865,0.7991266375545851,0.3667334669338677,7.32506060155245,0.7161572052401747,0.657314629258517,6.564535183904928,0.46775956284153003,0.8577154308617234,4.287639760395107,0.33648943918426805,0.9258517034068137,3.084374137933551,4574,0.10909488412767818
no_strength_features,temporal_latest20,47,11,True,0.9393768671246936,0.6552144431626793,0.9345726451344896,0.8015885819545873,0.6232057416267942,0.6058139534883721,0.6416256157635468,0.9615515481456277,0.047435984691318545,0.03154354398500567,0.7531120331950207,0.44704433497536944,8.930684442900068,0.5794392523364486,0.687192118226601,6.871207587127664,0.37227414330218067,0.8830049261083743,4.41456616484815,0.2665282104534441,0.9482758620689655,3.160591303517504,9629,0.08432859071554678
