feature,gain
num__log_strength_psi,122393.88331657648
num__sqrt_strength_psi,101553.76568472385
num__strength_psi,94097.37183392048
num__strength_bin_500,58298.76238054037
text__clay,33359.39562100172
text__impacts,29852.709567189217
num__scm_indicator_count,24536.786092877388
num__strength_per_curing_day,7495.739760816097
text__average,7329.610402464867
cat__Company Location - State_NJ,6025.0557461977005
cat__Company_National Ready Mix,6022.053863763809
text__at plant,4794.409027814865
text__acg,4440.400922834873
text__clay at,4260.747893810272
text__app_cement_and_masonry_grout,4152.27491825819
text__2007 uslci,3927.5557917952538
text__epd 2015,3891.8269765377045
cat__application_strength_bin_general_unspecified|3000,3473.023117184639
text__epd,3459.9755333065987
text__cement,3344.526965379715
cat__Plant_West Nyack Plant,3059.588961660862
cat__Company_Eastern Concrete,3039.3722865581512
text__580lb,3031.933293938637
cat__Plant Location - State_NY,2871.39324760437
text__4500psi,2814.9478157758713
text__astm,2766.8617926836014
num__app_cement_and_masonry_grout,2755.775863289833
text__cm,2666.8492915034294
text__us,2562.023515880108
text__uslci,2549.5223826169968
text__2015 us,2536.960517346859
text__in,2512.3903269171715
text__efca epd,2408.974175930023
text__2015,2269.622002661228
text__2010 application_category_filler,2238.2502278089523
cat__Plant Location - City_Valley Cottage,2185.064873635769
text__nrel,2156.2616181373596
text__plant us,2098.7596715688705
text__at,2065.6089577674866
text__pu,2051.1093125343323
text__efca,2042.5594948530197
text__2001 ecoinvent,2013.1975182294846
text__3l,1972.7949586510658
text__diesel powered,1927.006050825119
text__2007,1914.9924243092537
text__admixture,1886.824345111847
cat__state_strength_bin_MN|3500,1863.0228929519653
text__c150 admixture,1851.6662170886993
text__mix,1830.3228513002396
text__ei 2016,1760.8555290699005
