metric_family,split,metric,model_value,leader_algorithm,leader_value,delta_vs_leader,wins_metric
classification,group_company,roc_auc,0.957552606268479,CARM-Boost fixed single model,0.954266718233956,0.00328588803452301,True
classification,group_company,average_precision,0.8261585507246609,CARM-Boost fixed single model,0.8018715595176092,0.02428699120705169,True
classification,group_company,accuracy,0.9487022900763359,Pareto-CARM thresholded single model,0.9508396946564884,-0.0021374045801525465,False
classification,group_company,balanced_accuracy,0.8324273435551914,Complement Naive Bayes,0.8459004004946389,-0.013473056939447448,False
classification,group_company,f1,0.7534246575342466,Pareto-CARM thresholded single model,0.7556904400606981,-0.0022657825264514875,False
classification,group_company,precision,0.8424507658643327,Pareto-CARM thresholded single model,0.8819362455726092,-0.03948547970827654,False
classification,group_company,recall,0.6814159292035398,Complement Naive Bayes,0.8486725663716814,-0.16725663716814165,False
classification,group_company,specificity,0.983438757906843,Random Forest,0.998734905117884,-0.015296147211041,False
classification,group_epd_source,roc_auc,0.9585994074037645,CARM-Boost fixed single model,0.9524182106544375,0.006181196749326934,True
classification,group_epd_source,average_precision,0.8093644929680536,Domain-feature LightGBM single model,0.7965073129609178,0.01285718000713576,True
classification,group_epd_source,accuracy,0.9440314822912111,Domain-feature LightGBM single model,0.940533449934412,0.00349803235679913,True
classification,group_epd_source,balanced_accuracy,0.8331760453422181,CARM-Boost fixed single model,0.8608628299543873,-0.027686784612169224,False
classification,group_epd_source,f1,0.7293868921775899,Domain-feature LightGBM single model,0.7154811715481172,0.013905720629472706,True
classification,group_epd_source,precision,0.7718120805369127,Domain-feature LightGBM single model,0.7483588621444202,0.023453218392492592,True
classification,group_epd_source,recall,0.6913827655310621,CARM-Boost fixed single model,0.8076152304609219,-0.11623246492985972,False
classification,group_epd_source,specificity,0.9749693251533742,Pareto-CARM thresholded single model,0.9720245398773006,0.0029447852760735582,True
classification,temporal_latest20,roc_auc,0.9661264401338435,Domain-feature LightGBM single model,0.9653887390626372,0.0007377010712062981,True
classification,temporal_latest20,average_precision,0.8099134643144936,Domain-feature LightGBM single model,0.8103168566768141,-0.00040339236232045383,False
classification,temporal_latest20,accuracy,0.9550316751479905,LightGBM GPU,0.9548239692595284,0.00020770588846208415,True
