metric,ci_low,ci_high,target,split,model
accuracy,0.7017552283397354,0.7261043533930858,next_forecast_extension_gt_30_days,temporal_2025_2026_holdout,catboost
balanced_accuracy,0.6288815772871253,0.6545658949740738,next_forecast_extension_gt_30_days,temporal_2025_2026_holdout,catboost
roc_auc,0.7053727054145816,0.7320626081862514,next_forecast_extension_gt_30_days,temporal_2025_2026_holdout,catboost
average_precision,0.5189143869008278,0.5697316994061324,next_forecast_extension_gt_30_days,temporal_2025_2026_holdout,catboost
f1,0.4776281945260324,0.5182267454035264,next_forecast_extension_gt_30_days,temporal_2025_2026_holdout,catboost
recall,0.41682727522681134,0.46190880406467383,next_forecast_extension_gt_30_days,temporal_2025_2026_holdout,catboost
specificity,0.83033317761136,0.8550347528573847,next_forecast_extension_gt_30_days,temporal_2025_2026_holdout,catboost
accuracy,0.7042146820315834,0.7310125906956892,next_forecast_extension_gt_60_days,temporal_2025_2026_holdout,catboost
balanced_accuracy,0.6352111030535392,0.662980097570026,next_forecast_extension_gt_60_days,temporal_2025_2026_holdout,catboost
roc_auc,0.6946234746263251,0.7258612723882791,next_forecast_extension_gt_60_days,temporal_2025_2026_holdout,catboost
average_precision,0.487684050730013,0.5440383761863011,next_forecast_extension_gt_60_days,temporal_2025_2026_holdout,catboost
f1,0.4784174389453818,0.5247238487576051,next_forecast_extension_gt_60_days,temporal_2025_2026_holdout,catboost
recall,0.4555630750903713,0.5051169998257449,next_forecast_extension_gt_60_days,temporal_2025_2026_holdout,catboost
specificity,0.8037376407766588,0.8274988706109605,next_forecast_extension_gt_60_days,temporal_2025_2026_holdout,catboost
accuracy,0.7253521126760564,0.7482981220657277,next_forecast_extension_gt_90_days,temporal_2025_2026_holdout,catboost
balanced_accuracy,0.6036289781621624,0.6332854720912786,next_forecast_extension_gt_90_days,temporal_2025_2026_holdout,catboost
roc_auc,0.6929919522972887,0.7264885973693411,next_forecast_extension_gt_90_days,temporal_2025_2026_holdout,catboost
average_precision,0.4100486989684829,0.4689605330090621,next_forecast_extension_gt_90_days,temporal_2025_2026_holdout,catboost
f1,0.39594968898112126,0.4472981238118853,next_forecast_extension_gt_90_days,temporal_2025_2026_holdout,catboost
recall,0.3466532480858789,0.4030935441779545,next_forecast_extension_gt_90_days,temporal_2025_2026_holdout,catboost
specificity,0.8488787848298381,0.8703931506263017,next_forecast_extension_gt_90_days,temporal_2025_2026_holdout,catboost
