split,cost_ratio_missed_to_review,review_fraction,cost_model,cost_random,cost_review_all,cost_review_none,saving_vs_review_all,saving_vs_review_none,saving_vs_random
group_company,2,0.08,1634.0,2865.2000000000003,9825.0,2260.0,0.8336895674300254,0.2769911504424779,0.4297082228116711
group_company,5,0.16,2647.0,6318.0,9825.0,5650.0,0.7305852417302798,0.531504424778761,0.5810383032605255
group_company,10,0.26,3244.0,10916.0,9825.0,11300.0,0.669821882951654,0.7129203539823008,0.7028215463539758
group_company,20,0.3,3808.0,18768.0,9825.0,22600.0,0.6124173027989822,0.8315044247787611,0.7971014492753623
group_company,50,0.34,4791.0,40631.0,9825.0,56500.0,0.5123664122137405,0.9152035398230088,0.8820851074302872
group_company,100,0.46,6020.0,65540.0,9825.0,113000.0,0.3872773536895674,0.9467256637168142,0.9081476960634727
group_epd_source,2,0.1,757.0,1355.2,4574.0,998.0,0.8344993441189331,0.2414829659318637,0.44141086186540734
group_epd_source,5,0.12,1109.0,2744.6,4574.0,2495.0,0.7575426322693485,0.5555110220440882,0.5959338337098302
group_epd_source,10,0.2,1445.0,4907.0,4574.0,4990.0,0.6840839527765632,0.7104208416833667,0.7055227226411249
group_epd_source,20,0.28,1761.0,8466.599999999999,4574.0,9980.0,0.614997813729777,0.8235470941883768,0.7920062362695769
group_epd_source,50,0.38,2288.0,17207.0,4574.0,24950.0,0.4997813729777001,0.9082965931863728,0.8670308595339107
group_epd_source,100,0.5,2587.0,27237.0,4574.0,49900.0,0.43441189331001306,0.9481563126252505,0.9050189081029482
temporal_latest20,2,0.06,1238.0,2104.56,9629.0,1624.0,0.8714300550420604,0.23768472906403937,0.4117535256775763
temporal_latest20,5,0.12,1795.0,4727.8,9629.0,4060.0,0.8135839651054108,0.5578817733990148,0.6203308092558907
temporal_latest20,10,0.14,2358.0,8331.199999999999,9629.0,8120.0,0.7551147575033752,0.7096059113300492,0.7169675436911849
temporal_latest20,20,0.2,2886.0,14918.0,9629.0,16240.0,0.7002804029494236,0.8222906403940886,0.806542431961389
temporal_latest20,50,0.24,3911.0,33167.0,9629.0,40600.0,0.5938311351126804,0.9036699507389163,0.8820815871197274
temporal_latest20,100,0.48,5122.0,46846.0,9629.0,81200.0,0.46806521964897707,0.9369211822660098,0.8906630235238868
