where,model,n,threshold,roc_auc,average_precision,top_20pct_capture,spearman
"U.S. group_company, CI <= 75.0",classifier (reported),1815,73.6,0.6534734625329885,0.19164176608680716,0.3858695652173913,0.4330128361842552
"U.S. group_company, CI <= 75.0",regression score,1815,73.6,0.7641384320102365,0.21465900888560277,0.3804347826086957,0.7328666860752756
"U.S. group_company, CI <= 100.0",classifier (reported),5606,96.5,0.7217510565012559,0.1880218783014455,0.3935810810810811,0.4424712741333123
"U.S. group_company, CI <= 100.0",regression score,5606,96.5,0.8462716555805905,0.35315847575446657,0.6570945945945946,0.7823244768185662
"U.S. group_company, CI <= 318.5",classifier (reported),9776,125.25,0.9570109505480731,0.7998177526229682,0.8825331971399387,0.7523392829033942
"U.S. group_company, CI <= 318.5",regression score,9776,125.25,0.9647781309047345,0.8201008925061549,0.9070480081716037,0.8967440013267101
U.S. full holdout,classifier (reported),9825,126.0,0.9615899408060928,0.8214015497102666,0.8902439024390244,0.7560260992026993
U.S. full holdout,regression score,9825,126.0,0.9689087152154181,0.8411391693954522,0.9186991869918699,0.898281163154874
External corpus (fitted on U.S. group_company training partition),regression score,1565,67.83523986817248,0.8449487912565141,0.48999728948109633,0.6878980891719745,0.5779550419710403
"U.S. group_epd_source, CI <= 75.0",classifier (reported),1824,72.75,0.6339230465882021,0.14992360441050034,0.2931937172774869,0.31703394203726026
"U.S. group_epd_source, CI <= 75.0",regression score,1824,72.75,0.7330179575060195,0.19788890694813846,0.41361256544502617,0.5285344157316012
"U.S. group_epd_source, CI <= 100.0",classifier (reported),3610,92.33999999999997,0.7758735055064887,0.26338359870790884,0.5761772853185596,0.5077757576286029
"U.S. group_epd_source, CI <= 100.0",regression score,3610,92.33999999999997,0.8266285215395488,0.31713912784890347,0.6454293628808865,0.6838663238952025
"U.S. group_epd_source, CI <= 318.5",classifier (reported),4455,119.64,0.9387574705790893,0.6938688010971619,0.8654708520179372,0.6717621241698057
"U.S. group_epd_source, CI <= 318.5",regression score,4455,119.64,0.946857239372846,0.7361621807451888,0.8699551569506726,0.7803885167353392
U.S. full holdout,classifier (reported),4574,126.725,0.9627035936021321,0.8142842849254559,0.9061135371179039,0.6966641028483707
U.S. full holdout,regression score,4574,126.725,0.9632436099829826,0.8335467625796178,0.9104803493449781,0.7970616602689597
External corpus (fitted on U.S. group_epd_source training partition),regression score,1565,67.83523986817248,0.8256686088592935,0.4524694684298151,0.5987261146496815,0.5569642654713401
"U.S. temporal_latest20, CI <= 75.0",classifier (reported),3754,73.0,0.6340555352297327,0.16612418487831743,0.31794871794871793,0.3325830290158953
"U.S. temporal_latest20, CI <= 75.0",regression score,3754,73.0,0.7559624531235709,0.23164917985214328,0.48717948717948717,0.5854734456259424
"U.S. temporal_latest20, CI <= 100.0",classifier (reported),7358,93.25,0.7579567043740281,0.25081351859054646,0.4614343707713126,0.5012059052080029
"U.S. temporal_latest20, CI <= 100.0",regression score,7358,93.25,0.8596295038619499,0.37711026850197915,0.6792963464140731,0.7300926196053442
"U.S. temporal_latest20, CI <= 318.5",classifier (reported),9477,117.0,0.9452192388516154,0.7302125182257514,0.8925964546402503,0.6875046066372043
"U.S. temporal_latest20, CI <= 318.5",regression score,9477,117.0,0.9525360758460095,0.7540574594615018,0.894681960375391,0.8280083591073669
U.S. full holdout,classifier (reported),9629,119.80000000000018,0.9576184149319897,0.8033922769404725,0.9169262720664589,0.7020613969710402
U.S. full holdout,regression score,9629,119.80000000000018,0.9624861509835768,0.8222416224955079,0.9179646936656283,0.8360206488498728
External corpus (fitted on U.S. temporal_latest20 training partition),regression score,1565,67.83523986817248,0.8422933555298205,0.4883803241389675,0.6369426751592356,0.5531103845624575
External corpus (fitted on full U.S. sample),regression score,1565,67.83523986817248,0.8463330558772437,0.48498171838979587,0.6687898089171974,0.5827089150666486
