analysis,model,roc_auc,average_precision,top_20pct_capture,spearman,auc_sd_over_seeds
as-is,"U.S. classifier, no updating",0.8318163723219456,0.4775155871457053,0.6369426751592356,0.495656245060445,
as-is,"U.S. regression score, no updating",0.8463330558772437,0.48498171838979587,0.6687898089171974,0.5827089150666486,
"as-is, AU only (n=1464, positives=112)",U.S. classifier,0.8129358622147084,0.368959843437385,0.6160714285714286,0.4630180206430844,
"as-is, AU only (n=1464, positives=112)",U.S. regression score,0.8245720625528318,0.37623143975672735,0.6160714285714286,0.563942138627383,
"as-is, NZ only (n=33, positives=16)",U.S. classifier,0.9871323529411765,0.9837863270308123,0.4375,0.9004872400378349,
"as-is, NZ only (n=33, positives=16)",U.S. regression score,0.9981617647058824,0.9963235294117647,0.4375,0.9128780521762244,
1. stacking (leave-producers-out CV),"local logistic, market features only",0.7785226367979154,0.39458779024093815,0.5859872611464968,0.38664121943568835,1.0115391473083685e-06
1. stacking (leave-producers-out CV),local logistic + U.S. classifier score,0.7821095107122176,0.4027635610216128,0.5859872611464968,0.385270724741231,1.5700924586837752e-16
1. stacking (leave-producers-out CV),local logistic + U.S. regression score,0.7727186776201506,0.3949849193207293,0.5796178343949044,0.36973919436227176,1.8924164613350341e-06
1. stacking (leave-producers-out CV),local logistic + both U.S. scores,0.774270320642733,0.3751777982458996,0.5668789808917197,0.3731276837606778,1.011539147333194e-06
1. stacking (leave-producers-out CV),"U.S. scores only, local logistic",0.8472649464389115,0.5189883173982816,0.7006369426751592,0.5614900207181877,0.0
"2. joint U.S.+external training (leave-producers-out CV, 1 seed)","gradient boosting, external weight x1",0.8049159488998263,0.41244617147403245,0.5923566878980892,0.5269993500572777,
"3. portable predictor set, U.S.-only",gradient boosting on shared predictors,0.8042645302547771,0.3684540428278019,0.6050955414012739,0.4833805350761732,
"3. portable predictor set, U.S.-only",regression on shared predictors,0.8071597242327737,0.36665366250718057,0.5987261146496815,0.5305267610609206,
