where,model,n,threshold,roc_auc,average_precision,top_20pct_capture,spearman
"U.S. group_company, CI <= 75.0",classifier (reported),1815,73.6,0.6534734625329885,0.19164176608680716,0.3858695652173913,0.4330128361842552
"U.S. group_company, CI <= 75.0",regression score,1815,73.6,0.7641384320102365,0.21465900888560277,0.3804347826086957,0.7328666860752756
"U.S. group_company, CI <= 100.0",classifier (reported),5606,96.5,0.7217510565012559,0.1880218783014455,0.3935810810810811,0.4424712741333123
"U.S. group_company, CI <= 100.0",regression score,5606,96.5,0.8462716555805905,0.35315847575446657,0.6570945945945946,0.7823244768185662
"U.S. group_company, CI <= 121.8",classifier (reported),8576,113.0,0.8606720004094282,0.3768721669732697,0.6911764705882353,0.6593657247851102
"U.S. group_company, CI <= 121.8",regression score,8576,113.0,0.9096682249642928,0.5191421187908364,0.7737556561085973,0.8627005399612457
U.S. full holdout,classifier (reported),9825,126.0,0.9615899408060928,0.8214015497102666,0.8902439024390244,0.7560260992026993
U.S. full holdout,regression score,9825,126.0,0.9689087152154181,0.8411391693954522,0.9186991869918699,0.898281163154874
External corpus (fitted on U.S. group_company training partition),regression score,252,61.91279128120734,0.6323179033356024,0.25256846451546394,0.34615384615384615,0.37817779343097385
"U.S. group_epd_source, CI <= 75.0",classifier (reported),1824,72.75,0.6339230465882021,0.14992360441050034,0.2931937172774869,0.31703394203726026
"U.S. group_epd_source, CI <= 75.0",regression score,1824,72.75,0.7330179575060195,0.19788890694813846,0.41361256544502617,0.5285344157316012
"U.S. group_epd_source, CI <= 100.0",classifier (reported),3610,92.33999999999997,0.7758735055064887,0.26338359870790884,0.5761772853185596,0.5077757576286029
"U.S. group_epd_source, CI <= 100.0",regression score,3610,92.33999999999997,0.8266285215395488,0.31713912784890347,0.6454293628808865,0.6838663238952025
"U.S. group_epd_source, CI <= 121.8",classifier (reported),4042,101.0,0.8356947763741891,0.3471651276791391,0.6576354679802956,0.5817002284700085
"U.S. group_epd_source, CI <= 121.8",regression score,4042,101.0,0.8617641320782323,0.4387275789684111,0.7142857142857143,0.7232512567789745
U.S. full holdout,classifier (reported),4574,126.725,0.9627035936021321,0.8142842849254559,0.9061135371179039,0.6966641028483707
U.S. full holdout,regression score,4574,126.725,0.9632436099829826,0.8335467625796178,0.9104803493449781,0.7970616602689597
External corpus (fitted on U.S. group_epd_source training partition),regression score,252,61.91279128120734,0.6145336963921035,0.27178017210417543,0.38461538461538464,0.3341862005447492
"U.S. temporal_latest20, CI <= 75.0",classifier (reported),3754,73.0,0.6340555352297327,0.16612418487831743,0.31794871794871793,0.3325830290158953
"U.S. temporal_latest20, CI <= 75.0",regression score,3754,73.0,0.7559624531235709,0.23164917985214328,0.48717948717948717,0.5854734456259424
"U.S. temporal_latest20, CI <= 100.0",classifier (reported),7358,93.25,0.7579567043740281,0.25081351859054646,0.4614343707713126,0.5012059052080029
"U.S. temporal_latest20, CI <= 100.0",regression score,7358,93.25,0.8596295038619499,0.37711026850197915,0.6792963464140731,0.7300926196053442
"U.S. temporal_latest20, CI <= 121.8",classifier (reported),8746,106.0,0.8615207432085285,0.4508779845158198,0.7144456886898096,0.6154436670965769
"U.S. temporal_latest20, CI <= 121.8",regression score,8746,106.0,0.9051011382302097,0.534054048770335,0.7894736842105263,0.7914346780559294
U.S. full holdout,classifier (reported),9629,119.80000000000018,0.9576184149319897,0.8033922769404725,0.9169262720664589,0.7020613969710402
U.S. full holdout,regression score,9629,119.80000000000018,0.9624861509835768,0.8222416224955079,0.9179646936656283,0.8360206488498728
External corpus (fitted on U.S. temporal_latest20 training partition),regression score,252,61.91279128120734,0.6044077603812117,0.2610923360020043,0.38461538461538464,0.3105916310329831
External corpus (fitted on full U.S. sample),regression score,252,61.91279128120734,0.620575221238938,0.2552866912541346,0.38461538461538464,0.35117415745012714
