feature,gain
num__strength_psi,584.6119384765625
text__of coal,461.65252685546875
text__impacts,445.92218017578125
text__clay,321.2177734375
text__expanded,307.84716796875
text__cem,233.40087890625
num__strength_bin_500,225.92739868164062
cat__Plant Location - State_NY,210.17587280273438
cat__Company_National Ready Mix,197.87857055664062
text__plant,172.70831298828125
text__clay at,171.2656707763672
text__slag,170.2122039794922
text__mixed,162.05445861816406
text__epd,157.89389038085938
text__astm c989,157.2878875732422
text__diesel powered,156.14488220214844
text__pump,153.41232299804688
text__data 2016,149.38380432128906
text__association industry,148.4600067138672
cat__Company_Eastern Concrete,148.40225219726562
text__c150 natural,147.02691650390625
cat__Plant Location - State_MN,145.77256774902344
text__c989,139.2997283935547
text__2008 portland,130.25216674804688
text__lightweight aggregate,128.5786895751953
cat__Plant Location - City_Valley Cottage,127.66863250732422
text__2001 supplier,127.45545959472656
text__4pm 660lb,127.0672836303711
text__manufacturing,123.9498519897461
text__slag cement,123.07295989990234
text__70,118.63025665283203
text__mro ecoinvent,113.0531997680664
text__cement,108.29627227783203
text__3000psi pu,107.28498840332031
text__portland,105.66845703125
text__specific,102.9171371459961
text__mix 409lwp,102.76919555664062
text__specific primary,101.13850402832031
text__frcc,100.30076599121094
text__409lwp,99.7801513671875
text__c618 batch,96.7435531616211
text__rna,95.36688232421875
text__309lwp 3000,92.54753875732422
text__2008 supplier,92.27230834960938
text__at plant,91.0045394897461
cat__Plant_West Nyack Plant,87.99163818359375
text__fly ash,87.24537658691406
text__4500psi 3l,86.85340881347656
text__primary,86.48717498779297
text__no,84.31134796142578
