algorithm,family,split,n_train,n_test,test_positive_rate,threshold,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,recall,specificity,fit_seconds
CARM-Boost fixed single model,custom single boosted model,group_company,37092,9825,0.1150127226463104,,0.954266718233956,0.8018715595176092,0.9169465648854962,0.8422040945106282,0.6736,0.6145985401459854,0.7451327433628319,0.9392754456584244,39.714
XGBoost GPU,gradient boosting,group_company,37092,9825,0.1150127226463104,,0.95341779173261,0.7965850504173133,0.9337404580152672,0.8428379141709965,0.7155963302752294,0.7066436583261432,0.7247787610619469,0.960897067280046,23.309
CatBoost CPU SVD,gradient boosting,group_company,37092,9825,0.1150127226463104,,0.9527431592767688,0.790937211744323,0.9448346055979644,0.8433312808195128,0.747906976744186,0.788235294117647,0.7115044247787611,0.9751581368602644,10.605
HistGradientBoosting SVD,gradient boosting,group_company,37092,9825,0.1150127226463104,,0.9355023485168468,0.7462219902268014,0.9448346055979644,0.8183079992061352,0.7316831683168317,0.8303370786516854,0.6539823008849558,0.9826336975273146,9.121
LightGBM GPU,gradient boosting,group_company,37092,9825,0.1150127226463104,,0.9337798653483084,0.7757626955884959,0.9417811704834606,0.8169678433847141,0.7212475633528265,0.8026030368763557,0.6548672566371682,0.97906843013226,68.256
Complement Naive Bayes,probabilistic linear,group_company,37092,9825,0.1150127226463104,,0.9265992051173748,0.6327875546591728,0.843765903307888,0.8459004004946389,0.5554590211410367,0.4128282393456737,0.8486725663716814,0.8431282346175963,0.034
Random Forest,bagging ensemble,group_company,37092,9825,0.1150127226463104,,0.9148453235762593,0.6449155757406503,0.8887531806615776,0.5206063906120393,0.080740117746005,0.8135593220338984,0.0424778761061946,0.998734905117884,18.695
SGD logistic regression,linear,group_company,37092,9825,0.1150127226463104,,0.9043671217819214,0.6503517701273651,0.9075826972010178,0.7468298839227101,0.5725047080979284,0.6116700201207244,0.5380530973451327,0.9556066705002876,3.348
Linear SVM SGD,linear margin,group_company,37092,9825,0.1150127226463104,,0.8984882472380118,0.6384121695468411,0.825852417302799,0.8161459897102902,0.5148851715338815,0.3788068418856904,0.8035398230088495,0.8287521564117308,2.97
MLP SVD,neural network,group_company,37092,9825,0.1150127226463104,,0.8901348552468868,0.6703120448666217,0.8966921119592876,0.8126669787844707,0.6103646833013435,0.5389830508474577,0.7035398230088495,0.921794134560092,11.039
Extra Trees,bagging ensemble,group_company,37092,9825,0.1150127226463104,,0.8720681705995206,0.5077514422632596,0.890381679389313,0.5330756665156966,0.1265206812652068,0.7572815533980582,0.0690265486725663,0.9971247843588268,36.921
Passive-Aggressive,linear margin,group_company,37092,9825,0.1150127226463104,,0.8583879963563639,0.5251240885475873,0.7590839694656488,0.7818879225676438,0.4365627231611521,0.298599804623901,0.8115044247787611,0.7522714203565267,1.141
