config_id,is_reported_configuration,n_estimators,num_leaves,learning_rate,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,max_text_features,inner_ap_mean,inner_ap_std,inner_ap_folds,runtime_s
1,True,650,63,0.028,20,0.9,0.86,0.05,2.0,14000,0.7707818622503445,0.0474991770866758,0.8346;0.7571;0.7207,291.9
2,False,400,127,0.028,20,0.8,0.86,0.0,8.0,8000,0.7652879855668595,0.047371159893344325,0.8305;0.7461;0.7193,271.5
3,False,400,63,0.05,40,0.9,0.86,0.5,2.0,8000,0.76138966557327,0.04848907917193961,0.8282;0.7415;0.7145,191.2
4,False,900,63,0.028,20,0.7,0.86,0.5,2.0,14000,0.763155446873153,0.04684275830345183,0.8259;0.7501;0.7134,300.4
5,False,900,63,0.028,20,0.7,0.6,0.05,8.0,8000,0.7647262658210784,0.04865412204236072,0.8264;0.7604;0.7074,271.9
6,False,900,127,0.015,20,0.7,0.86,0.5,2.0,8000,0.7622945191482157,0.04598334594236227,0.8210;0.7573;0.7087,421.5
7,False,900,63,0.05,40,0.9,0.86,0.0,2.0,14000,0.7635405601388703,0.05024336794832428,0.8306;0.7504;0.7096,274.1
8,False,650,31,0.028,10,0.9,0.86,0.5,8.0,14000,0.7652171711003112,0.04633568693072823,0.8283;0.7489;0.7184,163.8
9,False,900,63,0.015,40,0.8,0.6,0.05,8.0,8000,0.7671339340709783,0.048490128221016206,0.8328;0.7516;0.7171,270.7
10,False,650,31,0.05,20,0.7,0.6,0.05,8.0,20000,0.7563905292218912,0.04560013705520823,0.8153;0.7498;0.7042,139.2
11,False,650,31,0.05,20,0.9,0.6,0.0,8.0,20000,0.7638166180958071,0.047779106244770754,0.8250;0.7580;0.7084,136.6
12,False,650,127,0.05,20,0.9,0.6,0.0,8.0,14000,0.7638553095084454,0.0525747410171532,0.8360;0.7432;0.7123,270.1
13,False,400,127,0.015,40,0.7,0.86,0.5,8.0,14000,0.7599494099890629,0.04472789413886986,0.8223;0.7378;0.7197,136.9
14,False,650,127,0.015,40,0.8,0.75,0.05,2.0,8000,0.7642214373826719,0.04860137466912095,0.8298;0.7494;0.7135,191.3
15,False,400,31,0.015,20,0.9,0.75,0.05,8.0,14000,0.7684859641944145,0.04045106804451231,0.8248;0.7492;0.7315,99.7
