model,resampling,split,validation,n_test,model_auc,xgb_auc,model_ap,xgb_ap,auc_delta_mean,auc_delta_ci_low,auc_delta_ci_high,auc_delta_p_gt_0,ap_delta_mean,ap_delta_ci_low,ap_delta_ci_high,ap_delta_p_gt_0,accuracy_delta_mean,accuracy_delta_ci_low,accuracy_delta_ci_high,accuracy_delta_p_gt_0,balanced_accuracy_delta_mean,balanced_accuracy_delta_ci_low,balanced_accuracy_delta_ci_high,balanced_accuracy_delta_p_gt_0,f1_delta_mean,f1_delta_ci_low,f1_delta_ci_high,f1_delta_p_gt_0
ACRM,declaration,group_company,Unseen company,9825,0.957552606268479,0.9534177917326101,0.8261585507246609,0.7965850504173133,0.004190047630880253,0.0009647485758515152,0.007340833320433654,0.998,0.029634333061720718,0.019453767140319562,0.04059279982451493,1.0,0.014979338422391863,0.012160305343511466,0.018117048346055986,1.0,-0.010389516274255068,-0.016422430100973242,-0.0038434243187258233,0.0,0.037967490734642256,0.02580097314096418,0.050822068674270415,1.0
ACRM,company,group_company,Unseen company,9825,0.957552606268479,0.9534177917326101,0.8261585507246609,0.7965850504173133,0.0028201895723447157,-0.003981502546141202,0.005676905093607905,0.842,0.02431037725118376,-0.0014499479577351204,0.03696886712185376,0.968,0.019182527990815334,0.011411974043051706,0.04377033071293033,1.0,-0.00754710184130762,-0.023232537642237934,0.02512945059883562,0.144,0.06932428117771101,0.026571453920788538,0.21225055432372494,1.0
CARMBoost,declaration,group_company,Unseen company,9825,0.954266718233956,0.9534177917326101,0.8018715595176092,0.7965850504173133,0.0009191876268910426,-0.0003000781657394896,0.002283499668317803,0.908,0.005366472450699249,0.0007642810319534595,0.010221999686451703,0.988,-0.016808142493638673,-0.019697201017811763,-0.013788804071246821,0.0,-0.0005576457939375128,-0.005572656867398634,0.0049496976032336465,0.406,-0.04203283453066437,-0.05165490615794701,-0.03204457090496116,0.0
CARMBoost,company,group_company,Unseen company,9825,0.954266718233956,0.9534177917326101,0.8018715595176092,0.7965850504173133,2.4487408687040357e-05,-0.005334389824129848,0.0015853030023972694,0.712,0.005304867207672616,-0.0198462324637205,0.029161181925478404,0.852,-0.013406159790089849,-0.019197492770525543,-0.0009502261931518446,0.008,-0.001650853913087089,-0.006322742366828504,0.000447239963180987,0.072,-0.035385545717930796,-0.046284183342383836,-0.003891623467508815,0.008
ACRM,declaration,group_epd_source,Unseen EPD source,4574,0.9585994074037645,0.9524206695599788,0.8093644929680536,0.7899301947000597,0.006249124423777561,0.002125504301695974,0.010181827884616275,0.998,0.01944335219807479,0.007673731641243829,0.03117425498055817,0.996,0.0429798863139484,0.034980323567992966,0.0503989943156974,1.0,-0.03290358343702373,-0.04792727655076681,-0.017608692628671024,0.0,0.08529820951459977,0.05949230962227747,0.11291493448196382,1.0
ACRM,company,group_epd_source,Unseen EPD source,4574,0.9585994074037645,0.9524206695599788,0.8093644929680536,0.7899301947000597,0.0073908997539869,-0.002042728516108888,0.018395555923949307,0.924,0.02143809338409902,-0.0023287885302420643,0.045037319081247175,0.954,0.0441049143529183,0.022963867753776648,0.07239787614628043,1.0,-0.027913684382761445,-0.05467415414009627,0.007396596425804689,0.066,0.0912522307413614,0.005375890835374912,0.19772024779243344,0.98
CARMBoost,declaration,group_epd_source,Unseen EPD source,4574,0.9524182106544375,0.9524206695599788,0.7824349840628895,0.7899301947000597,-4.851908364165158e-06,-0.001566597015387966,0.0015219449977950021,0.484,-0.007228800095442269,-0.015507045755559307,-0.00020943358964623448,0.02,0.0014013992129427199,-0.0019676432006996425,0.005028421512898951,0.748,-0.005420587320600399,-0.012576120830877061,0.0014850565986005942,0.06,-0.00070576260218902,-0.011041389861880973,0.010016279825643227,0.436
CARMBoost,company,group_epd_source,Unseen EPD source,4574,0.9524182106544375,0.9524206695599788,0.7824349840628895,0.7899301947000597,-5.229629976692607e-05,-0.003614935967175431,0.0037207216278475814,0.476,-0.006305423965156214,-0.01931817965679235,0.007711967766401592,0.184,0.0014542967280627831,-0.007763291656189333,0.013923122251345055,0.572,-0.005125381434477619,-0.0212696418473168,0.007767197894676044,0.264,0.00046424436220925846,-0.0246970969050902,0.033915240415655454,0.47
ACRM,declaration,temporal_latest20,Temporal (final 20%),9629,0.9661264401338435,0.9605877109323626,0.8099134643144936,0.7863936248420181,0.005663299961429786,0.002333186878260937,0.008907537372785976,1.0,0.02338220228307127,0.011503245423727876,0.035095421547467656,1.0,0.01681337625921695,0.012823242288918846,0.0204590300135008,1.0,-0.0283729422142689,-0.039945210150954896,-0.01874671275449473,0.0,0.04317536718285129,0.023775861488099227,0.06168357507762125,1.0
ACRM,company,temporal_latest20,Temporal (final 20%),9629,0.9661264401338435,0.9605877109323626,0.8099134643144936,0.7863936248420181,0.005572527350296586,0.0027158539916541853,0.009350426406483845,1.0,0.023683187496012073,0.008068288056864157,0.03785685882796825,1.0,0.0172558227730339,0.009178917223659428,0.02529902986560681,1.0,-0.026194434390701918,-0.04699003439062124,-0.0026797130836540804,0.014,0.04611637035387904,0.012618272825262547,0.0836733297158855,0.996
CARMBoost,declaration,temporal_latest20,Temporal (final 20%),9629,0.9608784474238359,0.9605877109323626,0.7904370308119277,0.7863936248420181,0.0003085855242252622,-0.001046056690688596,0.0016760995219216443,0.658,0.004011938012098934,-0.0006178487844943121,0.009007777966424666,0.96,-0.0008896043202824813,-0.002907882438467127,0.0012462353307716167,0.204,0.0007331972793340073,-0.005419411451591893,0.006468605920078797,0.602,-0.002364536899474384,-0.011660603144173212,0.006781441377032618,0.316
CARMBoost,company,temporal_latest20,Temporal (final 20%),9629,0.9608784474238359,0.9605877109323626,0.7904370308119277,0.7863936248420181,0.00041960376028367597,-0.00207312519412835,0.00315468445534052,0.582,0.004235977448262089,-0.002266127312494906,0.012471465724761056,0.856,-0.0006497790953520666,-0.0032950815863796445,0.00298694640219848,0.29,0.001045953502759708,-0.0033798598629154407,0.0085103088996974,0.586,-0.0010894660811343103,-0.00958933309091772,0.01299428713396519,0.358
