row_index,y_true,model_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
15734,1,0.9999342027561592,0.08432859071554678,CEMEX,Walnut Plant,CA,Pacific Southwest Region,other_or_unspecified,78.63,0,28.0,standard_28,1056.848531095002,national_spec_group,10.0,473.625,267.1333333333333,583.223531095002,0.5518515794223827,789.7151977616687,0.7472359326113117,True,True,True
14230,1,0.9999215142326784,0.08432859071554678,CEMEX,Santa Clara Plant,CA,Pacific Southwest Region,other_or_unspecified,100.0,0,28.0,standard_28,1360.0,national_spec_group,10.0,473.625,267.1333333333333,886.375,0.6517463235294118,1092.8666666666668,0.8035784313725491,True,True,True
15159,1,0.9999150728661486,0.08432859071554678,CEMEX,Sweetwater Plant,FL,Southeastern Region,filler,150.0,0,28.0,standard_28,1260.0,strict_group,12.0,700.1666666666666,581.5666666666667,559.8333333333334,0.4443121693121693,678.4333333333333,0.5384391534391534,True,True,True
9297,1,0.999903429790582,0.08432859071554678,CEMEX,Lawrenceville Plant,GA,Southeastern Region,paving,350.0,500,28.0,standard_28,1200.0,regional_strength_group,6.0,374.2307692307692,295.83333333333337,825.7692307692307,0.6881410256410256,904.1666666666666,0.7534722222222222,True,True,True
33464,1,0.9998996858428412,0.08432859071554678,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,other_or_unspecified,300.0,500,28.0,standard_28,304.6666666666667,strict_group,6.0,170.55,159.4,134.11666666666667,0.44020787746170675,145.26666666666668,0.47680525164113785,True,True,True
33463,1,0.9998937857561148,0.08432859071554678,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,other_or_unspecified,300.0,500,28.0,standard_28,308.00000000000006,strict_group,6.0,170.55,159.4,137.45000000000005,0.4462662337662338,148.60000000000005,0.48246753246753254,True,True,True
42876,1,0.9998880958449624,0.08432859071554678,Silver Strike Concrete,Silver Strike Sparks Plant,NV,Pacific Southwest Region,filler,200.0,0,28.0,standard_28,1380.0,national_spec_group,101.0,570.0,476.0,810.0,0.5869565217391305,904.0,0.6550724637681159,True,True,True
40970,1,0.9998797506530848,0.08432859071554678,Pete Lien & Sons,Colorado Springs Ready Mix Plant 2 Plant,CO,Rocky Mountains Region,filler,200.0,0,28.0,standard_28,233.5,strict_group,28.0,694.25,407.90000000000003,0.0,0.0,0.0,0.0,True,False,False
33720,1,0.999879102289161,0.08432859071554678,Knife River Corporation,Linnton Plant,OR,Pacific Northwest Region,filler,300.0,500,28.0,standard_28,366.6666666666667,strict_group,19.0,261.5,240.8,105.16666666666669,0.28681818181818186,125.86666666666667,0.3432727272727273,True,True,True
33461,1,0.9998754496496254,0.08432859071554678,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,filler,300.0,500,28.0,standard_28,360.0,strict_group,19.0,261.5,240.8,98.5,0.27361111111111114,119.19999999999999,0.3311111111111111,True,True,True
