row_index,y_true,domain_lgbm_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
42876,1,0.9999463795530772,0.10909488412767818,Silver Strike Concrete,Silver Strike Sparks Plant,NV,Pacific Southwest Region,filler,200.0,0,28.0,standard_28,1380.0,national_spec_group,74.0,559.5,380.7666666666667,820.5,0.5945652173913043,999.2333333333333,0.7240821256038648,True,True,True
33626,1,0.999915370285671,0.10909488412767818,Knife River Corporation,Eugene (Oregon) Plant,OR,Pacific Northwest Region,filler,250.0,0,28.0,standard_28,556.0,strict_group,50.0,675.75,506.1,0.0,0.0,49.89999999999998,0.08974820143884887,True,False,False
43771,1,0.9999032011911516,0.10909488412767818,Smyrna Ready Mix,SCGA Mobile Plant,SC,Southeastern Region,filler,100.0,0,28.0,standard_28,575.0,national_spec_group,74.0,559.5,380.7666666666667,15.5,0.026956521739130435,194.2333333333333,0.33779710144927527,True,False,False
33461,1,0.9998962625618988,0.10909488412767818,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,filler,300.0,500,28.0,standard_28,360.0,strict_group,12.0,366.6666666666667,360.6666666666667,0.0,0.0,0.0,0.0,True,False,False
33555,1,0.9998949715413612,0.10909488412767818,Knife River Corporation,Coffee Lake Plant,OR,Pacific Northwest Region,filler,300.0,500,28.0,standard_28,423.33333333333337,strict_group,12.0,366.6666666666667,360.6666666666667,56.666666666666686,0.13385826771653547,62.666666666666686,0.14803149606299215,True,True,False
33625,1,0.9998929821923402,0.10909488412767818,Knife River Corporation,Eugene (Oregon) Plant,OR,Pacific Northwest Region,filler,300.0,500,28.0,standard_28,400.0,strict_group,12.0,366.6666666666667,360.6666666666667,33.333333333333314,0.08333333333333329,39.333333333333314,0.09833333333333329,True,False,False
423,1,0.9998928552762218,0.10909488412767818,American Rock Products (ARP),Hermiston Plant,OR,Pacific Northwest Region,filler,100.0,0,28.0,standard_28,1360.0,strict_group,50.0,675.75,506.1,684.25,0.503125,853.9,0.6278676470588235,True,True,True
33464,1,0.9998922175873928,0.10909488412767818,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,other_or_unspecified,300.0,500,28.0,standard_28,304.6666666666667,national_spec_group,20.0,217.375,207.0,87.29166666666669,0.28651531728665214,97.66666666666669,0.3205689277899344,True,True,True
33720,1,0.999890890735702,0.10909488412767818,Knife River Corporation,Linnton Plant,OR,Pacific Northwest Region,filler,300.0,500,28.0,standard_28,366.6666666666667,strict_group,12.0,366.6666666666667,360.6666666666667,0.0,0.0,6.0,0.01636363636363636,True,False,False
33863,1,0.999887110380358,0.10909488412767818,Knife River Corporation,Redmond (Oregon) Plant,OR,Pacific Northwest Region,filler,150.0,0,28.0,standard_28,1260.0,strict_group,50.0,675.75,506.1,584.25,0.4636904761904762,753.9,0.5983333333333333,True,True,True
