row_index,y_true,domain_lgbm_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
14230,1,0.9999592861605112,0.08432859071554678,CEMEX,Santa Clara Plant,CA,Pacific Southwest Region,other_or_unspecified,100.0,0,28.0,standard_28,1360.0,national_spec_group,10.0,473.625,267.1333333333333,886.375,0.6517463235294118,1092.8666666666668,0.8035784313725491,True,True,True
15734,1,0.9999455663998138,0.08432859071554678,CEMEX,Walnut Plant,CA,Pacific Southwest Region,other_or_unspecified,78.63,0,28.0,standard_28,1056.848531095002,national_spec_group,10.0,473.625,267.1333333333333,583.223531095002,0.5518515794223827,789.7151977616687,0.7472359326113117,True,True,True
33720,1,0.9999385225990464,0.08432859071554678,Knife River Corporation,Linnton Plant,OR,Pacific Northwest Region,filler,300.0,500,28.0,standard_28,366.6666666666667,strict_group,19.0,261.5,240.8,105.16666666666669,0.28681818181818186,125.86666666666667,0.3432727272727273,True,True,True
7470,1,0.999929166125619,0.08432859071554678,CEMEX,Downtown Miami Plant,FL,Southeastern Region,filler,150.0,0,28.0,standard_28,1253.3333333333335,strict_group,12.0,700.1666666666666,581.5666666666667,553.1666666666669,0.4413563829787235,671.7666666666668,0.5359840425531915,True,True,True
33464,1,0.9999230656589808,0.08432859071554678,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,other_or_unspecified,300.0,500,28.0,standard_28,304.6666666666667,strict_group,6.0,170.55,159.4,134.11666666666667,0.44020787746170675,145.26666666666668,0.47680525164113785,True,True,True
33462,1,0.9999157839328564,0.08432859071554678,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,filler,250.0,0,28.0,standard_28,328.4,strict_group,40.0,589.5000000000001,437.05000000000007,0.0,0.0,0.0,0.0,True,False,False
9297,1,0.9999151825151888,0.08432859071554678,CEMEX,Lawrenceville Plant,GA,Southeastern Region,paving,350.0,500,28.0,standard_28,1200.0,regional_strength_group,6.0,374.2307692307692,295.83333333333337,825.7692307692307,0.6881410256410256,904.1666666666666,0.7534722222222222,True,True,True
33555,1,0.9999148454911522,0.08432859071554678,Knife River Corporation,Coffee Lake Plant,OR,Pacific Northwest Region,filler,300.0,500,28.0,standard_28,423.33333333333337,strict_group,19.0,261.5,240.8,161.83333333333337,0.3822834645669292,182.53333333333336,0.43118110236220475,True,True,True
5393,1,0.9999128911365276,0.08432859071554678,CEMEX,Athens Plant,AL,Southeastern Region,filler,200.0,0,28.0,standard_28,550.0,strict_group,12.0,700.1666666666666,581.5666666666667,0.0,0.0,0.0,0.0,True,False,False
42876,1,0.9999089045069826,0.08432859071554678,Silver Strike Concrete,Silver Strike Sparks Plant,NV,Pacific Southwest Region,filler,200.0,0,28.0,standard_28,1380.0,national_spec_group,101.0,570.0,476.0,810.0,0.5869565217391305,904.0,0.6550724637681159,True,True,True
33849,1,0.9999057527554271,0.08432859071554678,Knife River Corporation,Redmond (Oregon) Plant,OR,Pacific Northwest Region,filler,100.0,0,28.0,standard_28,1260.0,strict_group,40.0,589.5000000000001,437.05000000000007,670.4999999999999,0.532142857142857,822.9499999999999,0.6531349206349206,True,True,True
33463,1,0.9999038421436296,0.08432859071554678,Knife River Corporation,Boise (Idaho) Plant,ID,Pacific Northwest Region,other_or_unspecified,300.0,500,28.0,standard_28,308.00000000000006,strict_group,6.0,170.55,159.4,137.45000000000005,0.4462662337662338,148.60000000000005,0.48246753246753254,True,True,True
21613,1,0.9999017051245956,0.08432859071554678,Central Pre-Mix (CPM),Crestline Plant ,WA,Pacific Northwest Region,filler,200.0,0,28.0,standard_28,650.0,strict_group,40.0,589.5000000000001,437.05000000000007,60.499999999999886,0.0930769230769229,212.94999999999993,0.32761538461538453,True,False,False
33920,1,0.9999001172648178,0.08432859071554678,Knife River Corporation,Tumalo (Oregon) Plant,OR,Pacific Northwest Region,filler,100.0,0,28.0,standard_28,1340.0,strict_group,40.0,589.5000000000001,437.05000000000007,750.4999999999999,0.5600746268656716,902.9499999999999,0.6738432835820894,True,True,True
21649,1,0.9998981462359482,0.08432859071554678,Central Pre-Mix (CPM),Crestline Plant ,WA,Pacific Northwest Region,filler,150.0,0,28.0,standard_28,444.6666666666667,strict_group,40.0,589.5000000000001,437.05000000000007,0.0,0.0,7.616666666666617,0.017128935532233772,True,False,False
15159,1,0.9998973236886832,0.08432859071554678,CEMEX,Sweetwater Plant,FL,Southeastern Region,filler,150.0,0,28.0,standard_28,1260.0,strict_group,12.0,700.1666666666666,581.5666666666667,559.8333333333334,0.4443121693121693,678.4333333333333,0.5384391534391534,True,True,True
2727,1,0.9998961420972176,0.08432859071554678,Cadman / Heidelberg Materials,Foster Road Plant,OR,Pacific Northwest Region,filler,150.0,0,28.0,standard_28,806.6666666666667,strict_group,40.0,589.5000000000001,437.05000000000007,217.16666666666663,0.26921487603305777,369.6166666666667,0.45820247933884295,True,True,True
44015,1,0.9998948532185152,0.08432859071554678,Stoneway Concrete,Seattle Plant,WA,Pacific Northwest Region,filler,100.0,0,28.0,standard_28,492.0,strict_group,40.0,589.5000000000001,437.05000000000007,0.0,0.0,54.94999999999993,0.11168699186991857,True,False,False
3289,1,0.999894433399386,0.08432859071554678,Cadman / Heidelberg Materials,Orchards Plant,WA,Pacific Northwest Region,filler,150.0,0,28.0,standard_28,840.0,strict_group,40.0,589.5000000000001,437.05000000000007,250.4999999999999,0.2982142857142856,402.94999999999993,0.4797023809523809,True,True,True
