split,strength_bin_500_psi,n_test,prevalence,roc_auc_within_class,average_precision_within_class,top_20pct_capture_within_class,top_20pct_precision_within_class
group_company,3000,1230,0.4146341463414634,0.9118613834422657,0.895048956436011,0.45294117647058824,0.9390243902439024
group_company,3500,1029,0.13411078717201166,0.8854812212300135,0.5536696990948042,0.6304347826086957,0.4223300970873786
group_company,4000,3033,0.05440158259149357,0.8571520645788429,0.29003144583507073,0.6909090909090909,0.18780889621087316
group_epd_source,3000,768,0.18229166666666666,0.8962409008189263,0.6748493741614535,0.6714285714285714,0.6103896103896104
group_epd_source,3500,428,0.11682242990654206,0.8591005291005291,0.4430829745015883,0.64,0.37209302325581395
group_epd_source,4000,1405,0.048398576512455514,0.9414019534515378,0.6162150404760562,0.8970588235294118,0.21708185053380782
temporal_latest20,2500,290,0.1724137931034483,0.7810416666666666,0.4712647003486312,0.58,0.5
temporal_latest20,3000,1882,0.17800212539851223,0.9275381335082827,0.7345682756429218,0.7402985074626866,0.6595744680851063
temporal_latest20,3500,911,0.06147091108671789,0.9508667502088555,0.674908660609376,0.9285714285714286,0.2857142857142857
temporal_latest20,4000,2710,0.03911439114391144,0.9243960670086658,0.6168271221058035,0.8490566037735849,0.16605166051660517
